distance_next,y_next,width_next,height_next,y_dino,game_speed,action,score,last_failed
920,305,102,95,340,20,2,2,0
900,305,102,95,340,20,2,3,0
880,305,102,95,340,20,2,4,0
860,305,102,95,340,20,2,5,0
840,305,102,95,340,20,2,6,0
820,305,102,95,340,20,2,7,0
800,305,102,95,340,20,2,8,0
780,305,102,95,340,20,2,9,0
760,305,102,95,340,20,2,10,0
740,305,102,95,340,20,2,11,0
720,305,102,95,340,20,2,12,0
700,305,102,95,340,20,2,13,0
680,305,102,95,340,20,2,14,0
660,305,102,95,340,20,2,15,0
640,305,102,95,340,20,2,16,0
620,305,102,95,340,20,2,17,0
600,305,102,95,340,20,2,18,0
580,305,102,95,340,20,2,19,0
560,305,102,95,340,20,2,20,0
540,305,102,95,340,20,2,21,0
520,305,102,95,340,20,2,22,0
500,305,102,95,340,20,2,23,0
480,305,102,95,340,20,2,24,0
460,305,102,95,340,20,2,25,0
440,305,102,95,340,20,2,26,0
420,305,102,95,340,20,2,27,0
400,305,102,95,306,20,1,28,0
380,305,102,95,250,20,1,29,0
360,305,102,95,207,20,1,30,0
340,305,102,95,175,20,1,31,0
320,305,102,95,152,20,1,32,0
300,305,102,95,136,20,1,33,0
280,305,102,95,125,20,1,34,0
260,305,102,95,117,20,1,35,0
240,305,102,95,117,20,1,36,0
220,305,102,95,118,20,1,37,0
200,305,102,95,122,20,1,38,0
180,305,102,95,131,20,1,39,0
160,305,102,95,147,20,1,40,0
140,305,102,95,172,20,1,41,0
120,305,102,95,306,20,1,42,0
100,305,102,95,250,20,1,43,0
80,305,102,95,207,20,1,44,0
60,305,102,95,175,20,1,45,0
40,305,102,95,152,20,1,46,0
20,305,102,95,136,20,1,47,0
0,305,102,95,125,20,1,48,0
820,305,99,95,117,20,2,49,0
800,305,99,95,117,20,2,50,0
780,305,99,95,118,20,2,51,0
760,305,99,95,122,20,2,52,0
740,305,99,95,131,20,2,53,0
720,305,99,95,147,20,2,54,0
700,305,99,95,172,20,2,55,0
680,305,99,95,340,20,2,56,0
660,305,99,95,340,20,2,57,0
640,305,99,95,340,20,2,58,0
620,305,99,95,340,20,2,59,0
600,305,99,95,340,20,2,60,0
580,305,99,95,340,20,2,61,0
560,305,99,95,340,20,2,62,0
540,305,99,95,340,20,2,63,0
520,305,99,95,340,20,2,64,0
500,305,99,95,340,20,2,65,0
480,305,99,95,340,20,2,66,0
460,305,99,95,340,20,2,67,0
440,305,99,95,340,20,2,68,0
420,305,99,95,306,20,1,69,0
400,305,99,95,250,20,1,70,0
380,305,99,95,207,20,1,71,0
360,305,99,95,175,20,1,72,0
340,305,99,95,152,20,1,73,0
320,305,99,95,136,20,1,74,0
300,305,99,95,125,20,1,75,0
280,305,99,95,117,20,1,76,0
260,305,99,95,117,20,1,77,0
240,305,99,95,118,20,1,78,0
220,305,99,95,122,20,1,79,0
200,305,99,95,131,20,1,80,0
180,305,99,95,147,20,1,81,0
160,305,99,95,172,20,1,82,0
140,305,99,95,306,20,1,83,0
120,305,99,95,250,20,1,84,0
100,305,99,95,207,20,1,85,0
80,305,99,95,175,20,2,86,0
60,305,99,95,152,20,1,87,0
40,305,99,95,136,20,1,88,0
20,305,99,95,125,20,1,89,0
0,305,99,95,117,20,1,90,0
820,305,99,95,117,20,2,91,0
800,305,99,95,118,20,2,92,0
780,305,99,95,122,20,2,93,0
